qiymet,otaqlar,sahe,mertebe,erazi,sheher,gun ve vaxt,parsed_at
120 000,2 otaqlı,48 m²,15/15 mərtəbə,İnşaatçılar m.,Bakı,bugün 13:36,2026-07-15 13:37:11.367635
400 000,2 otaqlı,76 m²,5/6 mərtəbə,Nardaran q.,Bakı,bugün 13:35,2026-07-15 13:37:11.368016
1 400 000,5 otaqlı,280 m²,10/12 mərtəbə,Nizami m.,Bakı,bugün 13:35,2026-07-15 13:37:11.368325
250 614,2 otaqlı,81.9 m²,4/14 mərtəbə,Sea Breeze q.,Bakı,bugün 13:35,2026-07-15 13:37:11.368619
180 /gün,4 otaqlı,108 m²,,İsmayıllı,İsmayıllı,bugün 13:33,2026-07-15 13:37:11.368897
275 000,5 otaqlı,275 m²,,Albalılıq q.,Bakı,bugün 13:33,2026-07-15 13:37:11.369178
4 500 /ay,240 m²,,,Ağ şəhər q.,Bakı,bugün 13:31,2026-07-15 13:37:11.369453
495 000,4 otaqlı,141 m²,2/2 mərtəbə,Nizami m.,Bakı,bugün 13:31,2026-07-15 13:37:11.369741
500 /gün,6 otaqlı,700 m²,,Nardaran q.,Bakı,bugün 13:31,2026-07-15 13:37:11.370013
309 468,2 otaqlı,88.8 m²,8/24 mərtəbə,Nardaran q.,Bakı,bugün 13:30,2026-07-15 13:37:11.370289
340 000,12 sot,,,Şüvəlan q.,Bakı,bugün 13:30,2026-07-15 13:37:11.370555
360 000,2 otaqlı,65 m²,2/8 mərtəbə,Sea Breeze q.,Bakı,bugün 13:30,2026-07-15 13:37:11.370842
225 000,3 otaqlı,65 m²,2/3 mərtəbə,Nəsimi r.,Bakı,bugün 13:30,2026-07-15 13:37:11.371138
280 000,4 otaqlı,148.5 m²,1/6 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:29,2026-07-15 13:37:11.371431
4 500 /ay,200 m²,,,Gənclik m.,Bakı,bugün 13:28,2026-07-15 13:37:11.371830
825 000,3 otaqlı,135 m²,4/5 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:37:11.372356
360 443,2 otaqlı,77.1 m²,1/9 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:37:11.372908
670 000,200 m²,,,İnşaatçılar m.,Bakı,bugün 13:27,2026-07-15 13:37:11.373482
187 500,2 otaqlı,55 m²,3/3 mərtəbə,Sahil m.,Bakı,bugün 13:27,2026-07-15 13:37:11.374230
150 /gün,3 otaqlı,110 m²,,Mərdəkan q.,Bakı,bugün 13:26,2026-07-15 13:37:11.374731
800 /ay,2 otaqlı,58 m²,11/17 mərtəbə,Gənclik m.,Bakı,bugün 13:24,2026-07-15 13:37:11.375209
520 000,4 otaqlı,300 m²,,Mərdəkan q.,Bakı,bugün 13:23,2026-07-15 13:37:11.375720
700 /ay,2 otaqlı,90 m²,13/19 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:21,2026-07-15 13:37:11.378949
146 000,20.2 m²,,,Şah İsmayıl Xətai m.,Bakı,bugün 13:21,2026-07-15 13:37:11.379488
120 000,2 otaqlı,48 m²,15/15 mərtəbə,İnşaatçılar m.,Bakı,bugün 13:36,2026-07-15 13:37:16.246965
400 000,2 otaqlı,76 m²,5/6 mərtəbə,Nardaran q.,Bakı,bugün 13:35,2026-07-15 13:37:16.247276
1 400 000,5 otaqlı,280 m²,10/12 mərtəbə,Nizami m.,Bakı,bugün 13:35,2026-07-15 13:37:16.247780
250 614,2 otaqlı,81.9 m²,4/14 mərtəbə,Sea Breeze q.,Bakı,bugün 13:35,2026-07-15 13:37:16.248334
180 /gün,4 otaqlı,108 m²,,İsmayıllı,İsmayıllı,bugün 13:33,2026-07-15 13:37:16.248821
